#data
en
#4646

#data
en-US
#4646

#data
en-GB
#4646

#data
ja
#4646

#data
mn-Cyrl-MN
#4646

#data
MN-cYRL-mn
#4646
langtag:language:case;;MN;s
langtag:script:case;;cYRL;s
langtag:region:case;;mn;s

#data
mN-cYrL-Mn
#4646
langtag:language:case;;mN;s
langtag:script:case;;cYrL;s
langtag:region:case;;Mn;s

#data
frm-1606nicT
#4646
langtag:variant:case;;1606nicT;s

#data
sl-rozaJ-bIske
#4646
langtag:variant:case;;rozaJ;s
langtag:variant:case;;bIske;s

#data
sl-X-mytype
#4646
langtag:privateuse;;X-mytype;w
langtag:privateuse:case;;X;s

#data
X-mYtype
#4646
langtag:privateuse:case;;X;s
langtag:privateuse:case;;mYtype;s
langtag:privateuse;;X-mYtype;w

#data
sl-x-my-lang
#note
sl-x-MY-Lang is canonical
#4646
langtag:privateuse:case;;my;s
langtag:privateuse:case;;lang;s
langtag:privateuse;;x-my-lang;w

#data
en-scousE
#4646
langtag:redundant:case;;en-scousE;s

#data
iu-LatN
#4646
langtag:redundant:case;;iu-LatN;s

#data
ZH-gan
#note
registered as grandfathered, but if gan is registered as an extended
language subtag, it will become redundant tag.
#4646
langtag:grandfathered:case;;ZH-gan;s

#data
I-Tsu
#4646
langtag:grandfathered:case;;I-Tsu;s

#data
fr-Latn-CA
#4646

